Geo_FIPS,Geo_NAME,Geo_QName,pop_18_in_poverty
20101,Lane County,"Lane County, Kansas",89
20103,Leavenworth County,"Leavenworth County, Kansas",2101
20105,Lincoln County,"Lincoln County, Kansas",73
20107,Linn County,"Linn County, Kansas",414
20109,Logan County,"Logan County, Kansas",42
20111,Lyon County,"Lyon County, Kansas",1087
20113,McPherson County,"McPherson County, Kansas",578
20115,Marion County,"Marion County, Kansas",224
20117,Marshall County,"Marshall County, Kansas",269
20119,Meade County,"Meade County, Kansas",102
20121,Miami County,"Miami County, Kansas",714
20123,Mitchell County,"Mitchell County, Kansas",193
20125,Montgomery County,"Montgomery County, Kansas",2060
20127,Morris County,"Morris County, Kansas",146
20129,Morton County,"Morton County, Kansas",74
20131,Nemaha County,"Nemaha County, Kansas",291
20133,Neosho County,"Neosho County, Kansas",1223
20135,Ness County,"Ness County, Kansas",66
20137,Norton County,"Norton County, Kansas",199
20139,Osage County,"Osage County, Kansas",732
20141,Osborne County,"Osborne County, Kansas",167
20143,Ottawa County,"Ottawa County, Kansas",227
20145,Pawnee County,"Pawnee County, Kansas",67
20147,Phillips County,"Phillips County, Kansas",195
20149,Pottawatomie County,"Pottawatomie County, Kansas",640
20151,Pratt County,"Pratt County, Kansas",297
20153,Rawlins County,"Rawlins County, Kansas",39
20155,Reno County,"Reno County, Kansas",2216
20157,Republic County,"Republic County, Kansas",165
20159,Rice County,"Rice County, Kansas",454
20161,Riley County,"Riley County, Kansas",1607
20163,Rooks County,"Rooks County, Kansas",62
20165,Rush County,"Rush County, Kansas",55
20167,Russell County,"Russell County, Kansas",202
20169,Saline County,"Saline County, Kansas",1965
20171,Scott County,"Scott County, Kansas",40
20173,Sedgwick County,"Sedgwick County, Kansas",24284
20175,Seward County,"Seward County, Kansas",1490
20177,Shawnee County,"Shawnee County, Kansas",5740
20179,Sheridan County,"Sheridan County, Kansas",10
20181,Sherman County,"Sherman County, Kansas",241
20183,Smith County,"Smith County, Kansas",119
20185,Stafford County,"Stafford County, Kansas",143
20187,Stanton County,"Stanton County, Kansas",201
20189,Stevens County,"Stevens County, Kansas",508
20191,Sumner County,"Sumner County, Kansas",792
20193,Thomas County,"Thomas County, Kansas",92
20195,Trego County,"Trego County, Kansas",48
20197,Wabaunsee County,"Wabaunsee County, Kansas",97
20199,Wallace County,"Wallace County, Kansas",61
20201,Washington County,"Washington County, Kansas",191
20203,Wichita County,"Wichita County, Kansas",15
20205,Wilson County,"Wilson County, Kansas",346
20207,Woodson County,"Woodson County, Kansas",152
20209,Wyandotte County,"Wyandotte County, Kansas",12498
21001,Adair County,"Adair County, Kentucky",977
21003,Allen County,"Allen County, Kentucky",1315
21005,Anderson County,"Anderson County, Kentucky",1242
21007,Ballard County,"Ballard County, Kentucky",422
21009,Barren County,"Barren County, Kentucky",3624
21011,Bath County,"Bath County, Kentucky",831
21013,Bell County,"Bell County, Kentucky",2635
21015,Boone County,"Boone County, Kentucky",3387
21017,Bourbon County,"Bourbon County, Kentucky",997
21019,Boyd County,"Boyd County, Kentucky",2760
21021,Boyle County,"Boyle County, Kentucky",851
21023,Bracken County,"Bracken County, Kentucky",448
21025,Breathitt County,"Breathitt County, Kentucky",1109
21027,Breckinridge County,"Breckinridge County, Kentucky",1130
21029,Bullitt County,"Bullitt County, Kentucky",1904
21031,Butler County,"Butler County, Kentucky",739
21033,Caldwell County,"Caldwell County, Kentucky",637
21035,Calloway County,"Calloway County, Kentucky",1850
21037,Campbell County,"Campbell County, Kentucky",3081
21039,Carlisle County,"Carlisle County, Kentucky",242
21041,Carroll County,"Carroll County, Kentucky",1115
21043,Carter County,"Carter County, Kentucky",1974
21045,Casey County,"Casey County, Kentucky",1158
21047,Christian County,"Christian County, Kentucky",4764
21049,Clark County,"Clark County, Kentucky",1523
21051,Clay County,"Clay County, Kentucky",2050
21053,Clinton County,"Clinton County, Kentucky",737
21055,Crittenden County,"Crittenden County, Kentucky",412
21057,Cumberland County,"Cumberland County, Kentucky",370
21059,Daviess County,"Daviess County, Kentucky",5616
21061,Edmonson County,"Edmonson County, Kentucky",511
21063,Elliott County,"Elliott County, Kentucky",510
21065,Estill County,"Estill County, Kentucky",1271
21067,Fayette County,"Fayette County, Kentucky",13379
21069,Fleming County,"Fleming County, Kentucky",1076
21071,Floyd County,"Floyd County, Kentucky",3183
21073,Franklin County,"Franklin County, Kentucky",1943
21075,Fulton County,"Fulton County, Kentucky",592
21077,Gallatin County,"Gallatin County, Kentucky",363
21079,Garrard County,"Garrard County, Kentucky",966
21081,Grant County,"Grant County, Kentucky",1751
21083,Graves County,"Graves County, Kentucky",2477
21085,Grayson County,"Grayson County, Kentucky",2401
21087,Green County,"Green County, Kentucky",495
21089,Greenup County,"Greenup County, Kentucky",1988
21091,Hancock County,"Hancock County, Kentucky",360
21093,Hardin County,"Hardin County, Kentucky",4459
21095,Harlan County,"Harlan County, Kentucky",2760
21097,Harrison County,"Harrison County, Kentucky",926
21099,Hart County,"Hart County, Kentucky",1108
21101,Henderson County,"Henderson County, Kentucky",2653
21103,Henry County,"Henry County, Kentucky",1024
21105,Hickman County,"Hickman County, Kentucky",169
21107,Hopkins County,"Hopkins County, Kentucky",2993
21109,Jackson County,"Jackson County, Kentucky",1216
21111,Jefferson County,"Jefferson County, Kentucky",35751
21113,Jessamine County,"Jessamine County, Kentucky",3185
21115,Johnson County,"Johnson County, Kentucky",1263
21117,Kenton County,"Kenton County, Kentucky",6362
21119,Knott County,"Knott County, Kentucky",1319
21121,Knox County,"Knox County, Kentucky",3060
21123,Larue County,"Larue County, Kentucky",617
21125,Laurel County,"Laurel County, Kentucky",4581
21127,Lawrence County,"Lawrence County, Kentucky",1272
21129,Lee County,"Lee County, Kentucky",615
21131,Leslie County,"Leslie County, Kentucky",906
21133,Letcher County,"Letcher County, Kentucky",2187
21135,Lewis County,"Lewis County, Kentucky",829
21137,Lincoln County,"Lincoln County, Kentucky",1380
21139,Livingston County,"Livingston County, Kentucky",383
21141,Logan County,"Logan County, Kentucky",1534
